Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, now left mobile due new contract elsewhere due poor signal living room start finish helpful pleasent courteus quick answer phone uk based helpful staff easily best mobile company dealt life hideously bad deal every level also good value money good job ,2,5,1,1,4,1,3,5,1,6,1.8,Positive,17-Oct-18,Wednesday,Oct-18,,1.5,,-1.9,,,,,,,-0.4,,,-0.65,-1.3,-2.75,0.4,1.8,
2, already reviewed mobile misleading customers called free texts free well now another review mobile appalling customer service demanding penalty payment early termination contract despite broken contract read stupidly signed month contract mobile june bought sim deal minutes called free texts seem data allowance important couple days got sim phone working switched noticed phone switched language chinese characters maybe japanese noticed text telling accessed settings updated settings order make phone work optimally gave info settings convinced mucking settings switched language chinese denied course trying blame contacted phone shop helston cornwall bought deal guided resetting language back english easy chinese days later thing happened phone shop help reset back english beginning think going regular thing however problem went away next negative thing noticed seemed bombarded ads switch phone invitation go shopping shop another appear screen annoying mobile phone companies past never kind problems like ones however also seems diminished now now come main course speak weeks ago started notice home west cornwall near lands end getting service message coming display now cornwall odd bad day lose signal mainly due atmospheric conditions notice neighbours seem problems non phones though realise full extent service time though actually use phone much home mainly use landline using mobile emergency contact device car break ever needed call police medical services emergency registered disabled diabetic suffer serious mobility restricting back disorder also suffer post traumatic stress disorder dangerously high blood pressure doctor tells much likely stroke heart attack average person might one day need use mobile phone call help keel field anywhere away home main reason rely mobile trying sell house wales gave mobile primary contact device contact re potential buyers arrange viewings imagine surprise became aware one agents trying contact week arrange viewing house explained points salesperson phone shop helston bought sim card assured decent signal lived reliable asked getting texts estate agents seeing service screen almost constantly started check phone daily surprise last weeks september realised getting network connection e service meant send receive kind text call contact internet e phone completely useless th september car broke little used remote back lane pulled mobile saw dreaded service legend walk nearest village miles away option wait car wasting fuel keep engine running keep warm even heavy coat blanket wearuse waited hour starting think might stuck night longer someone came along help luckily someone come along rescued decided contact customer services try untenable situation remedied th contacted spoke chap called abdul listened story confirmed local mobile mast stopped working getting service message asked long told since th september nearly weeks ago recounted stuff phone emergency contact phone emergency medical service also importance able receive texts estate agents lose sale house seemed sympathetic told worry refund £ months rental told think much compensation denying access netwrok effectively making phone useless area asked make reasonable offer compensation bearing mind inconvenience stuck broken car middle nowhere unable call help said need ask manger decide told actually needed provided service signed contract end asked much longer expected take mast problem fixed replied another weeks maybe bit longer explained go another month total weeks without kind service network connection spoke manager also ask give permission leave without expected cough early cancellation fees unused part months contract said ask manager came back told manger said computer says david walliams used say little britain mobile expect give service weeks possibly longer offer compensation refund monthly fee told abdul thought outrageous went online customer support page put points writing asked please reconsider paltry offer compensation allow leave without early cancellation fees grounds believe failed honour side contract go another company provide proper service still waiting reply st october telephoned customer services recounting whole story young lady told manger call back following day surprise call back manger identified ruan recounted whole story made difference despite expecting take weeks fix problem time service receive monthly fee back compensation denial service weeks insisted wanted leave able go another company order reliable decent service must pay £ early cancellation told ruan thought idea e stank told weeks fixed go complain ombudsman experience complete waste time believe biased favour big companies agreed compensation deal ceo talk talk valued £ continued taking money bank account months afterwards despite cancelled contract writing escalated ombudsman found favour awarded £ gutted even bother accept explained ruan s attitude towards disabled pensioner health mental issues wanted nothing part empire also told publicise truth matter trustpilot social media revenge way asked thought right supply service weeks continue insist right leave without paying fine £ lot money now disabled pensioner breadline please point contract signed states case promised put email s decision offer compensation reasoning felt fine £ leaving circumstances promised end day nd october email bee received now form informed opinion whether want treated like mobile making decision whether give businessmoney think high handed arrogant attitude towards customers manifestation severe ethical moral problem emanating heart empire bombarded s adverts telling us much care customers treat us like scum advice avoid tescomobile rest empire like plague ,17,24,12,26,10,22,13,28,48,43,-8.95,Negative,04-Oct-18,Thursday,Oct-18,,0.05,,0.75,,,,,,,4.05,,,0.75,-3.2,-1.9,0.3,-8.95,
3, hate buck trend always liked guys sadly terminate contract reasons service quality gladly go back great web portal keep track mobile always helpful smiley face calling although wish companies mins blah blah blah connecting human ,1,2,1,2,1,3,1,1,3,3,0.4,Positive,24-Sep-18,Monday,Sep-18,,,,,,,,,,,,,,,3.25,2.05,,,
4, absolute garbage companyreported trading standards providing recipe invoice purchase phone customer support rude ,0,1,1,0,1,0,0,1,1,3,0.3,Positive,07-Sep-18,Friday,Sep-18,,,,,,,,,,,,,,,,0.05,,,
5, mobile charged euro going data limit gigs two months gigs total warning gone limit indication nearing limit app claimed needed check know gone limit inform charging account directly every megabyte used capped limit exceeded mobile legitimately robbed stunned phone trying understand happened person called inform payment owed still account currently hung words absolutely disgraceful shameful mobile genuinely disgusting sly underhanded business practices claim deal signed even find agreement ticked godawful website anticonsumer friendly designed make finding simplest information hike mountain bog ,4,4,3,4,2,1,2,5,8,4,-2.75,Negative,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,0.1,,,
6, mob pulled fast one claiming web payment error retried ended taking two payments sending two phones top phone g phone claimed use lot time energy dilemmas sorted still got phone ,1,2,0,1,0,1,0,1,3,1,-1.9,Negative,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,-0.25,,,
7, never issues mobile prices good phone selection good signal great uses o downside roaming options provide outside eu basically nonexistent using phone america australia expensive example basically pay flat rate £ even higher per mb ridiculously expensive long using phone uk eu happy mobile frequently best customer service awards uswitch really show recommend ,0,5,0,0,3,0,1,6,0,6,2.05,Positive,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
8, pay go system rip put credit sons phone runs month wether uses ,0,1,0,0,1,0,0,3,0,2,0.05,Positive,21-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
9, mobile now years much money never problems fact use network never problems signal etc ,1,3,0,0,1,0,1,2,0,1,0.1,Positive,03-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
10, bought gb data still one month later unable use spent hours dealing customer services now seem interested ,0,0,1,0,0,2,0,0,2,2,-0.25,Negative,03-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
